condition_id,scenario_id,config_file,p_follow,active_route_change_threshold_center
1,31,config_scenario_31.toml,0.1,100.0
2,32,config_scenario_32.toml,0.1,150.0
3,33,config_scenario_33.toml,0.15,100.0
4,34,config_scenario_34.toml,0.15,150.0
5,35,config_scenario_35.toml,0.2,100.0
6,36,config_scenario_36.toml,0.2,150.0
7,37,config_scenario_37.toml,0.25,100.0
8,38,config_scenario_38.toml,0.25,150.0
9,39,config_scenario_39.toml,0.3,100.0
10,40,config_scenario_40.toml,0.3,150.0
11,41,config_scenario_41.toml,0.35,100.0
12,42,config_scenario_42.toml,0.35,150.0
13,43,config_scenario_43.toml,0.35,200.0
14,44,config_scenario_44.toml,0.35,250.0
15,45,config_scenario_45.toml,0.35,300.0
16,46,config_scenario_46.toml,0.35,350.0
17,47,config_scenario_47.toml,0.35,400.0
18,48,config_scenario_48.toml,0.35,450.0
19,49,config_scenario_49.toml,0.4,100.0
20,50,config_scenario_50.toml,0.4,150.0
21,51,config_scenario_51.toml,0.4,200.0
22,52,config_scenario_52.toml,0.4,250.0
23,53,config_scenario_53.toml,0.4,300.0
24,54,config_scenario_54.toml,0.4,350.0
25,55,config_scenario_55.toml,0.4,400.0
26,56,config_scenario_56.toml,0.4,450.0
27,57,config_scenario_57.toml,0.45,100.0
28,58,config_scenario_58.toml,0.45,150.0
29,59,config_scenario_59.toml,0.45,200.0
30,60,config_scenario_60.toml,0.45,250.0
31,61,config_scenario_61.toml,0.45,300.0
32,62,config_scenario_62.toml,0.45,350.0
33,63,config_scenario_63.toml,0.45,400.0
34,64,config_scenario_64.toml,0.45,450.0
